Created_at,Id,Full_text,Location,User_description,Date
Wed Jul 03 19:44:58 +0000 2019,1146505129606230016,RT @NRDC: It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wend…,"Washington, DC","Waffles, friends, work. Loving our environment @NRDC. #ProtectOurCoast #OHHillYes #WellesleyForever",2019-07-03
Wed Jul 03 19:42:09 +0000 2019,1146504419627982848,"RT @Claus_grit42: In Utrecht and getting ready for tomorrows IMI ""GNA-NOW"" kick-off meeting. Part of the @IMI_JU #AMR Accelerator Programme…",Utrecht Nederland,Tweet & RT Utrechtse onderwerpen.,2019-07-03
Wed Jul 03 19:41:02 +0000 2019,1146504141306572800,RT @mtgholden: Lots of lovely data is being collected in East Africa by the @HATUA_Research teams investigating the drivers of #AMR in UTI…,Chile,"Complexity, Resilience, Climate Change and One Health are my issues. Peace for everyone and everywhere is my wish. CEO & Founder https://t.co/utEeNgiiE1",2019-07-03
Wed Jul 03 19:37:41 +0000 2019,1146503295999053824,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…",@TheQuadram,"Scientist, sport mad, father of four",2019-07-03
Wed Jul 03 19:34:44 +0000 2019,1146502552030273541,RT @mtgholden: Lots of lovely data is being collected in East Africa by the @HATUA_Research teams investigating the drivers of #AMR in UTI…,"Cambridge, England","Genomic Epidemiologist, Center for Genomic Pathogen Surveillance, Wellcome Trust Sanger Institute",2019-07-03
Wed Jul 03 19:29:26 +0000 2019,1146501218220433408,RT @NRDC: It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wend…,,,2019-07-03
Wed Jul 03 19:28:23 +0000 2019,1146500957250961411,RT @Petrolheadsarah: @M2_Competition Wow! Thank you guys! That is really kind of you to say that. I guess looking at my timeline kind of gi…,Cheshire,"A petrolhead, who together with my husband, also likes photography & other stuff. Check out our website for more",2019-07-03
Wed Jul 03 19:26:21 +0000 2019,1146500445621256192,"RT @CCAMP_Bangalore: TOMORROW! CCAMP #webinar on @CARB_X funding opportunities for #AMR innovations! 3-4pm IST 
Don't miss registering http…","Bengaluru, India","NCBS (affiliated to TIFR) is a premier biological research institute that focuses on fundamental, interdisciplinary research from the frontier areas of biology.",2019-07-03
Wed Jul 03 19:21:38 +0000 2019,1146499256250974218,RT @brad_spiller: Enjoyed discussing our latest clinical Mycoplasma genitalium data at #BASHHWales ⁦@BASHH_UK⁩ meeting today. Thanks to exc…,"Treorchy, Rhondda ",,2019-07-03
Wed Jul 03 19:20:49 +0000 2019,1146499052470714370,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","NiagaraCounty,NY","Town of Lewiston NY Complaints Page.
Keeping Town Taxpayers informed.
Complaints on Town Officials spending Town Monies in the Village, that is its own entity!",2019-07-03
Wed Jul 03 19:20:27 +0000 2019,1146498958950354951,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",USA Global . Washington DC,@iConversations engaging @BlackHAIRSalons @BlackBarbershop @SalonSaturday https://t.co/BCQrf9moEn https://t.co/54Hd4O4YgB 202.748.2870,2019-07-03
Wed Jul 03 19:09:59 +0000 2019,1146496324432551940,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",In Your Heart ~,"When a woman becomes her own best friend life is easier.
—Diane Von Furstenberg",2019-07-03
Wed Jul 03 19:07:57 +0000 2019,1146495814283550724,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, DC","Kevin Donahue, Deputy Mayor for Public Safety and Justice, is dedicated to the safety of the District of Columbia.",2019-07-03
Wed Jul 03 19:04:09 +0000 2019,1146494859068366848,RT @NRDC: It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wend…,"Colorado, USA",Author of #urbanfantasy & #fantasy #romance; Fantasy with a Touch of Funny; Newsletter: https://t.co/25hEzkmCUV,2019-07-03
Wed Jul 03 19:02:08 +0000 2019,1146494350760796161,"RT @MSHHealthImpact: Join us July 16 for a lively discussion on the rising threat of #AntimicrobialResistance, the consequences we face her…",Mali,"Diplômée en Lettres, Présidente du réseau des jeunes Ambassadeurs SR/PF Mali, engagée dans la lutte contre la mortalité infantile et maternelle",2019-07-03
Wed Jul 03 19:00:25 +0000 2019,1146493919909306368,It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wendys to end antibiotic overuse in its beef supplies! Learn more: https://t.co/aiAEmjbbeC and take action: https://t.co/HV6UBPiG01 #AMR,Planet Earth,Natural Resources Defense Council | The Earth's Best Defense,2019-07-03
Wed Jul 03 18:55:46 +0000 2019,1146492747194470400,"Postdoc (Norwich, UK)
AMR genomic epidemiology investigating Salmonella and antimicrobial resistance in Brazilian pigs and poultry at @TheQuadram #AMR #onehealth
More details: https://t.co/U7dMBvCtSd",,"Find & advertise jobs in infectious disease dynamics. PhDs, postdocs, research, industry. Add your jobs at https://t.co/Xvf58SH16b. Made by @rozeggo.",2019-07-03
Wed Jul 03 18:54:51 +0000 2019,1146492518143549440,RT @IPSFAfRO: A BIG congratulations to @tapsatanzania for their good work in the #AMR campaign. Former @tapsatanzania President @erick_vena…,"Nairobi, Kenya","MBChB, LO Standing Committee On Professional Exchange, 2019KEHSS Delegate/CA, MSAKE SRT 2019 CA, Co-founder Pinout Cancer Kenya, Big Fan Ellen show",2019-07-03
Wed Jul 03 18:54:39 +0000 2019,1146492467908435969,"On Sunday our three @CUH_NHS infectious diseases specialists will run, cycle, and swim for #globalhealth at the @OutlawTriathlon Holkham! The funds they raise will support #AntimicrobialStewardship projects in Uganda and Zimbabwe. https://t.co/kuXaW4yxNy #AMR #CUH4GlobalHealth","Cambridge, UK",Inspiring and enabling people to improve healthcare globally. Supporting Cambridge based healthcare professionals and international partners.,2019-07-03
Wed Jul 03 18:53:52 +0000 2019,1146492268213354496,"RT @DrLloyd_P: This is very exciting, Philippe, and we’re looking forward to working with you all #researchneverstops #amr #antibiotics #An…",,,2019-07-03
Wed Jul 03 18:52:30 +0000 2019,1146491926071431169,"RT @CKaushic: Participate now! Contribute to an overview of collections of biological material, databases and services relevant for #AMR #r…","Donnacona, Québec",Biologiste moléculaire. Recherche en santé.,2019-07-03
Wed Jul 03 18:51:16 +0000 2019,1146491616363982848,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",Wherever I lay my books,"Swedish cosmopolitan with fading roots. Social scientist in general, political scientist in particular. Globalist by choice. Following the green light.",2019-07-03
Wed Jul 03 18:47:13 +0000 2019,1146490597282394112,"RT @MSHHealthImpact: Join us July 16 for a lively discussion on the rising threat of #AntimicrobialResistance, the consequences we face her…",,"GHC is the leading membership organization supporting and connecting advocates, implementers and stakeholders around global health priorities worldwide.",2019-07-03
Wed Jul 03 18:47:08 +0000 2019,1146490575736266754,RT @vitstatsconsult: A recently published systematic review on government policy interventions tackling antimicrobial resistance finds ther…,"Belfast, Northern Ireland",A happy little robot that loves to retweet any #systematicreview #metaanalysis #SysRev #evidencesynthesis #researchsynthesis tweets. By @MetaEvidence,2019-07-03
Wed Jul 03 18:40:37 +0000 2019,1146488934198861824,"A recently published systematic review on government policy interventions tackling antimicrobial resistance finds there are a variety of options but few have been rigorously evaluated. 

https://t.co/t7iItmAIul

#publichealth #healthpolicy #AMR",,A comprehensive medical education & healthcare consulting firm,2019-07-03
Wed Jul 03 18:40:24 +0000 2019,1146488879148654592,"RT @ABPI_UK: Our experts chair a Medicines Knowledge Base event on #AMR at ABPI Wales. The UK can’t solve AMR alone, but we can continue to…","Barry, South Wales","Views my own, etc. etc.",2019-07-03
Wed Jul 03 18:39:23 +0000 2019,1146488624185262085,"RT @IDDjobs: PhD position (Bristol , UK)
Oct 2019 start: Investigating cost-effectiveness of vaccines against Neisseria species using trans…",Kenya,#Scholar ! Avid #Writer #Tactful with proven INGENUITY in problem solving! Community service and #Volunteer!,2019-07-03
Wed Jul 03 18:38:35 +0000 2019,1146488422539964419,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Rockaway, NJ",,2019-07-03
Wed Jul 03 18:35:39 +0000 2019,1146487683570683905,"RT @IDDjobs: PhD position (Bristol , UK)
Oct 2019 start: Investigating cost-effectiveness of vaccines against Neisseria species using trans…","Nigeria, Gambia, Kenya, London",Working at being a change agent in my microsphere |Pediatrician| Epidemiologist| Follow/Re-tweet/Replies ≠ endorsement. Tweets personal. 2018 #eLifeAmbassador,2019-07-03
Wed Jul 03 18:34:19 +0000 2019,1146487348542263301,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",New York City,"Upended by the election.  
Should be working on memoir, ""If Nobody's There I'll Talk to Anybody.""",2019-07-03
Wed Jul 03 18:30:06 +0000 2019,1146486290243887107,"Announcing our ASP Webinar Series—monthly free webinars (with CE available) will bring together laboratorians &amp; clinicians to explore the latest in #diagnostic #stewardship. Follow the link to learn more &amp; register: https://t.co/P4NZqS4hmG

#AntimicrobialStewardship
#AMR https://t.co/UXJPGnt3Uz","Durham, NC",bioMérieux Inc provides diagnostic solutions which determine the source of disease and contamination to improve patient health and ensure consumer safety.,2019-07-03
Wed Jul 03 18:27:39 +0000 2019,1146485673509019649,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",United States,"Feminist/writer/Comedienne Last Comic Standing, Tonight Show, National Lampoon, Discovery -""UnderbellyBlues"" now on Amazon Prime https://t.co/bzKxYT0aJn",2019-07-03
Wed Jul 03 18:26:34 +0000 2019,1146485397804998658,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",,,2019-07-03
Wed Jul 03 18:25:02 +0000 2019,1146485013900406785,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",Florida,"I'm a (former) republican Italian grandmother from NJ who lives in FL. I'm retired from sales in the insurance, consumer products, and travel industries.",2019-07-03
Wed Jul 03 18:22:08 +0000 2019,1146484283919540224,Interested in #AMR and #Mgen ? https://t.co/FVMbSSQTIO,"Wales, UK","Researchers passionate about Sexual Health in Wales- discovery & discussion, support & collaboration. Ymchwilwyr sy’n angerddol am Iechyd rhywiol yng Nghymru",2019-07-03
Wed Jul 03 18:17:18 +0000 2019,1146483065516109825,Enjoyed discussing our latest clinical Mycoplasma genitalium data at #BASHHWales ⁦@BASHH_UK⁩ meeting today. Thanks to excellent support from ⁦@LucyJonesDr⁩ @CwmTaf_Research ⁦@DJM67⁩ ⁦@AndrewBarratt20⁩ ⁦@SmallRedOne⁩  #AMR #sexualhealth https://t.co/ff2bmYRndW,Division of Infection and Immunity University Hospital of Wales,"Medical Microbiologist investigating antibiotic resistance, developing faster diagnostics and microbial pathogenesis.",2019-07-03
Wed Jul 03 18:15:10 +0000 2019,1146482531782549504,"RT @Claus_grit42: In Utrecht and getting ready for tomorrows IMI ""GNA-NOW"" kick-off meeting. Part of the @IMI_JU #AMR Accelerator Programme…","Manchester, England","Founding CEO of Euprotec, now part of @EvotecAG. Discovering new #antibiotics to treat #drugresistantinfections. Husband. Proud father. Wannabe cyclist. ❤️MCR",2019-07-03
Wed Jul 03 18:10:58 +0000 2019,1146481474767638530,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…","Norwich, England",Director NRP Biosciences DTP and Chair NBI Graduate School. Professor of Chemistry: Bioinorganic to Bionanoscience. Views my own.,2019-07-03
Wed Jul 03 18:10:55 +0000 2019,1146481459894640640,RT @themalariaarea: Should 24 hours be the new benchmark for a negative blood culture in children? Would certainly help in the fight agains…,,"ANNP, all views my own, retweets are not endorsements.",2019-07-03
Wed Jul 03 18:07:43 +0000 2019,1146480654068137984,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, DC",MOAPIA’s mission is to improve the quality of life for District Asian Americans and Pacific Islanders through advocacy and engagement.,2019-07-03
Wed Jul 03 18:04:47 +0000 2019,1146479918286610432,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, DC","Communications Specialist for Washington, DC Mayor Muriel Bowser. All views expressed here are my own.",2019-07-03
Wed Jul 03 18:02:00 +0000 2019,1146479216961249282,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, D.C.",Transportation reporter @washingtonpost.🚶 🛴 🚲 🛣 🚗 🚎 🚊 ✈️ and more. @AmericanU alum. Tips: luz.lazo@washpost.com,2019-07-03
Wed Jul 03 18:01:13 +0000 2019,1146479019430436864,"RT @ZainabP2796: 💥 APPRECIATION LETTER FROM MoHCDGEC 💥
Hard Work Truly Pays! 
Our work as #TAPSA in supporting Antimicrobial Resistance #AM…","Dar es Salaam, Tanzania","| Entreprenuer💰| Model ⛤| Stylist 👕 | Med student 📚💉 |

-empowering youths in academia & lifestyles.",2019-07-03
Wed Jul 03 18:01:03 +0000 2019,1146478977558745088,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",ME,"After 20 years on the Hill and 30+ inside the Beltway, I've returned to the mothership, Maine.  My tweets represent my personal views.",2019-07-03
Wed Jul 03 18:00:26 +0000 2019,1146478822008770561,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, DC","Proud #Ward6 resident, green chile enthusiast | Deputy Chief for @MayorBowser | Alum of @DCCC @SenatorTomUdall @BarackObama @NMDEMS | Views expressed are my own",2019-07-03
Wed Jul 03 17:57:26 +0000 2019,1146478065930952704,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, DC",Howard University School of Law constitutional law nurse cyclist non-principal actress SAG-AFTRA,2019-07-03
Wed Jul 03 17:55:33 +0000 2019,1146477592691826688,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…",Norwich Research Park,The Quadram Institute: Scientific and clinical excellence to deliver better patient care and innovation in food and health,2019-07-03
Wed Jul 03 17:55:01 +0000 2019,1146477460592181249,"RT @Wellcome_AMR: The SEDRIC board visited @CDCgov last week to discuss epidemiology + surveillance for #AMR. 

We’re also delighted to ann…",Edinburgh,Edinburgh Infectious Diseases - the network based at the University of Edinburgh for infectious disease researchers.  Tweets by @hsnaith,2019-07-03
Wed Jul 03 17:54:33 +0000 2019,1146477341901651968,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…",,,2019-07-03
Wed Jul 03 17:53:20 +0000 2019,1146477036363571200,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…","Aberdeen, Scotland",Research Scientist at 4D Pharma PLC Interests include #live_biotherapeutics and the human #microbiome.,2019-07-03
Wed Jul 03 17:52:43 +0000 2019,1146476878846406657,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Washington, DC","Official account of the Mayor of Washington, DC. Together, we're working to give every Washingtonian a #FairShot. Tweets from Mayor Bowser signed MMB.",2019-07-03
Wed Jul 03 17:52:35 +0000 2019,1146476847774887936,"RT @mitchellreports: WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https:…","Florida, USA","America, the moral torchbearer and defender of human rights, of fairness and justice, of what is good and decent in the World, reduce to Potus45",2019-07-03
Wed Jul 03 17:51:49 +0000 2019,1146476655273218048,"In Utrecht and getting ready for tomorrows IMI ""GNA-NOW"" kick-off meeting. Part of the @IMI_JU #AMR Accelerator Programme. Looking forward to get started and meet all partners and old friends in flesh and blood. @MichaelMourez  @DrLloyd_P https://t.co/IQTzficd6I","Dragør, Danmark","Dane. Dad. Husband. Geek. +45.
Pharma. Informatics. Software. Science. 
Founder & not unlike the CEO of grit42",2019-07-03
Wed Jul 03 17:51:45 +0000 2019,1146476635773898754,"RT @FlemingFund: Applications are open for Country Grants in Indonesia 🇮🇩, Malawi 🇲🇼, Papua New Guinea 🇵🇬, Burkina Faso 🇧🇫 and Bangladesh…",,Work on the UK’s @flemingfund. Interests in global health/development. Loves libraries. Views own.,2019-07-03
Wed Jul 03 17:50:39 +0000 2019,1146476358979203072,"WATCH: @EleanorNorton and @MayorBowser join #AMR @MSNBC to discuss @realDonaldTrump Fourth of July celebrations
https://t.co/aKLVYshnxf","Washington, DC","NBC News Chief Foreign Affairs Correspondent/anchor, Andrea Mitchell Reports, weekdays at 12pm ET on @MSNBC.",2019-07-03
Wed Jul 03 17:37:39 +0000 2019,1146473087979917312,"RT @MSHHealthImpact: Join us July 16 for a lively discussion on the rising threat of #AntimicrobialResistance, the consequences we face her…",,Public Health Specialist. Trainer. Public Speaker. Motivational Speaker. God loving. Christian Musics lover,2019-07-03
Wed Jul 03 17:29:49 +0000 2019,1146471118032855041,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…","Llandudno, Wales","Water microbiologist and part-time qPCR whisperer at Bangor University. Interested in enteric viruses, pathogen inactivation, QMRA. Comments are my own.",2019-07-03
Wed Jul 03 17:28:31 +0000 2019,1146470790071762944,RT @themalariaarea: Should 24 hours be the new benchmark for a negative blood culture in children? Would certainly help in the fight agains…,"London,UK",Wellcome Trust SHW Fellow | Science | Research |  Data Science in Medicine | Bioinformatics | Biomarkers | Genomics |Infectious Diseases,2019-07-03
Wed Jul 03 17:25:28 +0000 2019,1146470023759892481,RT @themalariaarea: Should 24 hours be the new benchmark for a negative blood culture in children? Would certainly help in the fight agains…,cambridge,Biologist; tech ed (Br J Dermatol); Patient & Public Involvement panellist; patient-doc comms researcher; full-time carer; antiplastic,2019-07-03
Wed Jul 03 17:20:58 +0000 2019,1146468888475033600,RT @themalariaarea: Should 24 hours be the new benchmark for a negative blood culture in children? Would certainly help in the fight agains…,"Cambridge, England","Pathogens, genomics, genome graphs, HLA, antibiotic resistance, direct-from-sputum TB diagnostics, DNA search",2019-07-03
Wed Jul 03 17:15:39 +0000 2019,1146467553553915904,RT @EPNtweets: It was encouraging to see a high level of engagement and participation of students during student #AMR sensitization worksho…,"Dodoma,Tanzania",Non gorvenmental organisation aims to roll back antimicrobial resistance.(rbainitiative@gmail.com),2019-07-03
Wed Jul 03 17:15:32 +0000 2019,1146467523526909953,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…",France,"Phage therapy
Host-phage interactions
Phage ecology",2019-07-03
Wed Jul 03 17:13:28 +0000 2019,1146467004490178562,Should 24 hours be the new benchmark for a negative blood culture in children? Would certainly help in the fight against #AMR? https://t.co/wEOplu6pdW,"Edinburgh, Scotland",Insatiably curious paediatrician and malaria researcher. Keeper of two small boys and a Basset hound.,2019-07-03
Wed Jul 03 17:13:18 +0000 2019,1146466961406275584,RT @EPNtweets: It was encouraging to see a high level of engagement and participation of students during student #AMR sensitization worksho…,"Dodoma, Tanzania","Founder&CEO @rbainitiative
(Roll Back Antimicrobial resistance Initiative)/ @DianaAward holder/Co-Founder @ISPARE_Global /Former @tapsatanzania President/
#AMR",2019-07-03
Wed Jul 03 17:12:06 +0000 2019,1146466658770399232,"Striking design and power to back it up
#AstonMartinDB11
.
.
.
#Astonmartin #aston #luxury #california #indiGOautogroup #cali #ranchomirage #astonmartinranchomirage  #SoCal #PalmSprings #Desert #DesertLife #DB11 #AstonmartinDB11AMR #AMR #DB11AMR #astonmartinracing https://t.co/C38bEQvUM8","Rancho Mirage, CA Houston, TX St. Louis, MO",indiGO Auto Group facilities are timelessly modern and offer boutique experiences. Our customer experience is delivered with a “white glove” standard.,2019-07-03
Wed Jul 03 17:08:24 +0000 2019,1146465727404269569,"“All women are beautiful, regardless of their looks. You just need to touch their soul with respect and appreciation for their inner beauty and you will be rewarded with joy. The heart is way more important than the package. Women are the God's greatest gift to man ""#Amr #respect","Fifth sattlement,NewCairo,Cairo, Egypt",iam a software engineer at faculty of computers and information (FCIH),2019-07-03
Wed Jul 03 17:07:20 +0000 2019,1146465459413377027,"RT @JPIAMR: Now published
New JPIAMR Roadmap of Actions 2019-2024

The guide for future joint transnational actions of the #JPIAMR and a re…",Ghost town,Superbug slayer~almost a geek. F1~ Hamilton fan girl. Wanderer~ Lover of the finer things of life.,2019-07-03
Wed Jul 03 17:01:50 +0000 2019,1146464077331537920,"RT @FlemingFund: Applications are open for Country Grants in Indonesia 🇮🇩, Malawi 🇲🇼, Papua New Guinea 🇵🇬, Burkina Faso 🇧🇫 and Bangladesh…",,#GlobalCitizen #InternationalPharmacist #ExecDirector @CW_Pharmacists #Mum,2019-07-03
Wed Jul 03 16:55:56 +0000 2019,1146462590312341504,"RT @RUMA_UK: Two great #AMR #agriculture conferences to book for autumn:
1. @RUMA_UK Building on Success: 29 Oct, London - strategy, policy…","Bury Saint Edmunds, England",Professional Regulator for SQPs - Registered Veterinary Medicine Advisors providing high quality advice and medicines. 🐷🐴🐑🐶🐱🐭🐰🐍,2019-07-03
Wed Jul 03 16:47:32 +0000 2019,1146460474860609537,The latest The #AntiMicrobialResistance Weekly! https://t.co/kxnM9TXGqt Thanks to @TickCamp @resistomap @UEA_Chemistry #antibiotics #amr,London,"Pharmaceutical, biopharmaceutical and biotechnology specialist tips and industry updates.",2019-07-03
Wed Jul 03 16:46:39 +0000 2019,1146460252600176641,RT @IPSFAfRO: A BIG congratulations to @tapsatanzania for their good work in the #AMR campaign. Former @tapsatanzania President @erick_vena…,"Dodoma, Tanzania","Founder&CEO @rbainitiative
(Roll Back Antimicrobial resistance Initiative)/ @DianaAward holder/Co-Founder @ISPARE_Global /Former @tapsatanzania President/
#AMR",2019-07-03
Wed Jul 03 16:46:31 +0000 2019,1146460219834163200,RT @UNITAID: NEW INVESTMENT: Fever can be a symptom of severe illness. Our latest initiative w/ @PATHtweets introduces devices that can mon…,Delhi,Country Director at PATH India,2019-07-03
Wed Jul 03 16:46:27 +0000 2019,1146460203421982720,RT @IPSFAfRO: A BIG congratulations to @tapsatanzania for their good work in the #AMR campaign. Former @tapsatanzania President @erick_vena…,,Pharmacist| Member of the Pharmaceutical Society of Uganda| Good music of any genre| Football #arsenal #vipersSC.,2019-07-03
Wed Jul 03 16:44:47 +0000 2019,1146459783215669249,"RT @EvelienAdri: A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufa…","St Louis, MO",student/mom/PhageHunter/Microbiology/interested in autoimmune diseases/gut/medical lab science [she/her],2019-07-03
Wed Jul 03 16:43:50 +0000 2019,1146459544941449217,RT @BactiVac: New course developed by @BSACandJAC : The Role of #vaccines in Preventing Infectious Diseases and #AMR. Join the course for h…,"Teresina, Brasil",PhD candidate at @UFPIoficial,2019-07-03
Wed Jul 03 16:40:23 +0000 2019,1146458676682731520,"A great project in collaboration with @ma_webber of @TheQuadram and Frenk Smrekar from Jafral, specialised in phage manufacturing. Come join us in Norwich and spend three months in Slovenia on an industrial placement. #phage #AMR https://t.co/QEpYzMlXaV","Norwich, England","Microbiologist at the Quadram Institute, Viromics & Phage, bit of a taxonomy geek. 
Love to read, game and travel. 
Views my own.",2019-07-03
Wed Jul 03 16:33:08 +0000 2019,1146456850805792768,"@reactgroup @pilimat ""it is erroneous to assume that a higher level of #awareness will translate into a positive change in behavior"" - thanks for making this explicit! Awareness only accounts for a fraction of behaviours in #AMR, and much can go wrong with well-meaning mass education campaigns.",Thailand,"@WarwickGSD, International Development, Global Health, #AMR, health behaviour, development finance, technology, evaluation. Mostly project news (own views)",2019-07-03
Wed Jul 03 16:32:46 +0000 2019,1146456760137523200,RT @mtgholden: Lots of lovely data is being collected in East Africa by the @HATUA_Research teams investigating the drivers of #AMR in UTI…,,,2019-07-03
Wed Jul 03 16:15:04 +0000 2019,1146452305287323648,RT @reactgroup: Raising awareness about #AMR is just one part of the entire behavior change process. The targets for the communication camp…,Canberra Australia,Infectious Diseases Physician and Microbiologist. Professor Medical School. Australian National University,2019-07-03
Wed Jul 03 16:14:54 +0000 2019,1146452264237895682,RT @reactgroup: Raising awareness about #AMR is just one part of the entire behavior change process. The targets for the communication camp…,Ghost town,Superbug slayer~almost a geek. F1~ Hamilton fan girl. Wanderer~ Lover of the finer things of life.,2019-07-03
Wed Jul 03 16:14:44 +0000 2019,1146452220449193984,"RT @reactgroup: ""...for any surveillance system to be effective, especially in the context of AMR, it needs to be truly ‘One Health’ in its…",Canberra Australia,Infectious Diseases Physician and Microbiologist. Professor Medical School. Australian National University,2019-07-03
Wed Jul 03 16:08:01 +0000 2019,1146450534058139649,"@JPIAMR join forces with @WaterJPI  and @JPIOceans for international showcase @siwi_water in Stockholm on Aug. 28th. Theme: Challenges of #Contaminants of Emerging Concerns, including Antibiotic Resistant Bacteria.

More here: https://t.co/ViFIIWvk5C
#AMR #AntibioticResistance https://t.co/UK2sexGb13",,The Joint Programming Initiative on Antimicrobial Resistance. Coordinates Strategic #AMR Research and Funding. 27 member nations. #Antibioticresistance #Global,2019-07-03
Wed Jul 03 16:01:44 +0000 2019,1146448951442382848,"Red, white, and BLUE. In the lab, we put on our gloves and get to work identifying antimicrobial resistant (#AMR) bacteria via whole genome #sequencing.  Happy #July4th! #Genomics @RocheSequencing https://t.co/itGIGPitDK",,BioAmp utilizes a patented amplification technology to detect low-abundance resistance biomarkers and provide medical personnel with point-of-care diagnostics.,2019-07-03
Wed Jul 03 15:53:58 +0000 2019,1146446994740797440,"RT @mitchellreports: Coming up on #AMR: 
@MayorBowser
@EleanorNorton
@PattersonNBC
@RuthMarcus
@HeidiNBC
@Eugene_Robinson
@SykesCharlie
@Ke…",A World with JUSTICE for ALL,"March4Peace,Love,Hope~Stand Against Intolerance~SpeakOut For Human/Animal Rights,Freedom,Equality4ALL, #Bahrain**Go Away BPOil**#YesWeStillCan #Resist #ThxObama",2019-07-03
Wed Jul 03 15:51:38 +0000 2019,1146446406950871040,"Raising awareness about #AMR is just one part of the entire behavior change process. The targets for the communication campaign on #AMR should not be restricted to raising of awareness. | @pilimat   
https://t.co/bBVfynP2H9",,"An independent global network for concerted action on AntibioticResistance. 
Privacy policy: https://t.co/gb2XnQJzUT",2019-07-03
Wed Jul 03 15:50:07 +0000 2019,1146446026586198017,"RT @mitchellreports: Coming up on #AMR: 
@MayorBowser
@EleanorNorton
@PattersonNBC
@RuthMarcus
@HeidiNBC
@Eugene_Robinson
@SykesCharlie
@Ke…",,Educator,2019-07-03
